,Linear_Regression,Decision_Tree,Random_Forest,ARIMA,SVR,XGBoost
MAE,6.471380266116292,5.653777587519026,4.145437604642313,10.215365635028009,5.777155425828392,6.471380266116292
RMSE,10.81538921359291,11.721005185032753,7.3919404501198045,15.771908035374832,10.597749943225951,9.915095444188532
