Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume (MWh),Market Index Price
02/01/2016,11,N2EXMIDP,0,0
02/01/2016,12,APXMIDP ,424.5,21.5
02/01/2016,12,N2EXMIDP,0,0
02/01/2016,13,APXMIDP ,350.4,20.55
02/01/2016,13,N2EXMIDP,0,0
02/01/2016,14,APXMIDP ,553.95,22.56
02/01/2016,14,N2EXMIDP,0,0
02/01/2016,15,APXMIDP ,918.7,28.23
02/01/2016,15,N2EXMIDP,0,0
02/01/2016,16,APXMIDP ,643.55,28.72
02/01/2016,16,N2EXMIDP,0,0
02/01/2016,17,APXMIDP ,540.35,30.15
02/01/2016,17,N2EXMIDP,0,0
02/01/2016,18,APXMIDP ,751.5,34.96
02/01/2016,18,N2EXMIDP,0,0
02/01/2016,19,APXMIDP ,496.5,35.01
02/01/2016,19,N2EXMIDP,0,0
02/01/2016,20,APXMIDP ,657,33.89
02/01/2016,20,N2EXMIDP,0,0
02/01/2016,21,APXMIDP ,671.5,34.17
02/01/2016,21,N2EXMIDP,0,0
02/01/2016,22,APXMIDP ,731.55,34.25
02/01/2016,22,N2EXMIDP,0,0
02/01/2016,23,APXMIDP ,610.5,35.84
02/01/2016,23,N2EXMIDP,0,0
02/01/2016,24,APXMIDP ,510.85,34.47
02/01/2016,24,N2EXMIDP,0,0
02/01/2016,25,APXMIDP ,415.3,35.42
02/01/2016,25,N2EXMIDP,0,0
02/01/2016,26,APXMIDP ,516.1,34.62
02/01/2016,26,N2EXMIDP,0,0
02/01/2016,27,APXMIDP ,504.1,33.72
02/01/2016,27,N2EXMIDP,0,0
02/01/2016,28,APXMIDP ,564.8,33.36
02/01/2016,28,N2EXMIDP,0,0
02/01/2016,29,APXMIDP ,652.35,33.03
02/01/2016,29,N2EXMIDP,0,0
02/01/2016,30,APXMIDP ,662.4,33.02
02/01/2016,30,N2EXMIDP,0,0
02/01/2016,31,APXMIDP ,1090.3,39.36
02/01/2016,31,N2EXMIDP,0,0
02/01/2016,32,APXMIDP ,949.4,40.32
02/01/2016,32,N2EXMIDP,0,0
